Пользователь,Дата,Комментарий,Рейтинг,Название заведения,Средняя оценка,Кол-во оценок
Bauyrzhan Akbura,"9 марта 2025, отредактирован",50/50,3,Международный университет информационных технологий,4.1,1327
Davlat Gaipnazarov,"6 марта 2025, отредактирован","Звоню на колл центр, никто трубку не берет!!!
Перезвоните пожалуйста +7-707-989-97-98 Хотели с города Актау учеников на экскурсию принести и показать ваш универ, но не можем дозвониться!!! Ждем от вас хороших новостей и приятных встреч",5,Международный университет информационных технологий,4.1,1327
dana,"5 марта 2025, отредактирован",средненько,3,Международный университет информационных технологий,4.1,1327
Абылайхан Бурабаев,3 марта 2025,Досым үшін кешірім сұраймын,1,Международный университет информационных технологий,4.1,1327
Ернур Жанат,3 марта 2025,"Как школьник учусь в ОТЦ, в универе все хорошо но не устраивает состояние 110 и 111 кабинета, розетки выдернуты, от обогревателей воняет и компьютеры уже очень старые, а так все отлично",4,Международный университет информационных технологий,4.1,1327
Али Кайсарулы,28 февраля 2025,"прикольный уник, поступайте поднимайте гпа и англ и загран можете",5,Международный университет информационных технологий,4.1,1327
Kopzhasar - Nurlykbekov,27 февраля 2025,👎🏿,1,Международный университет информационных технологий,4.1,1327
Yelnar Kavkenov,"24 февраля 2025, отредактирован",Лучший вуз страны! Ни капли не сожалею что 4 года назад выбрал МУИТ❤️,5,Международный университет информационных технологий,4.1,1327
Alima Aubakirova,22 февраля 2025,мне нравится,5,Международный университет информационных технологий,4.1,1327
Ulyana Asmus,17 февраля 2025,классное место там дима учится,5,Международный университет информационных технологий,4.1,1327
Жанна Нургалиева,"15 февраля 2025, отредактирован",😍😍😍,5,Международный университет информационных технологий,4.1,1327
Hick Nick,"13 февраля 2025, отредактирован","Закончил здесь, думаю все зависет от самого человека.
Кем он стал, или никем. Сам лично доволен.",5,Международный университет информационных технологий,4.1,1327
Mr Big,"10 февраля 2025, отредактирован","Читаю комментарий, якобы от Merei Adilbek от 01.02.25, и не могу не улыбнуться, учитывая, что я его не писала. Как же легко быть анонимным критиканом, когда не нужно нести ответственности за свои слова. Очевидно, что человек, решивший оставить этот комментарий, не был занят чем-то важным, кроме как приписывать выдуманный опыт. Возможно, в реальной жизни он даже не может найти свою роль, поэтому решил нацепить маску критика, если уж решаешься на такой шаг, попытайся хотя бы немного логики подключить. Это, конечно, не мой стиль, я не занимаюсь бредом и не выкидываю необоснованные комменты.Прежде чем что-то публиковать, лучше научись
аргументировать свое мнение, и оставлять конструктивные комменты",5,Международный университет информационных технологий,4.1,1327
Secret Guest,10 февраля 2025,"Отзыв, оставленный 1 февраля 2025, якобы от имени Мерей, не имеет к ней никакого отношения, подтверждаю, как близкий человек, который был в недоумении от этого. Использование чужих данных без разрешения, тем более для подстав, не остается без последствий.

Ты сам/сама выбрал(а) этот путь. Беря чужое имя, ты взял(а) на себя и всё, что с ним связано. Особенно весь груз, всю боль, все тяготы. А всё хорошее и удача уходят вместе с тем, чьим именем ты прикрыл(ась)ся. Это не вопрос веры, это просто так работает.

Не поленюсь всё это реализовать и закрепить. Ресурсов хватает. И ведь бывают же дурачки, которые собственноручно, создавая связь, помогают произвести данный вид подмены, мда.
В общем, жди)",5,Международный университет информационных технологий,4.1,1327
Алтын Викинг,"8 февраля 2025, отредактирован",💘💘💘💘💘💘💘💘💘💘,5,Международный университет информационных технологий,4.1,1327
Yeldos Abildos,"6 февраля 2025, отредактирован",Лучший университет,5,Международный университет информационных технологий,4.1,1327
Yerzhigit Myrzabaev,19 января 2025,"Образование честно сказать скатилось, многие покинули преподавание в университете и начали набирать кого попало. Ладно бы только это, также университет не поддерживает чтобы студенты старших курсов начинали свою карьеру. Я не помню точно кто это был, но мне отказали в свободном посещений с gpa 3.48. Причина : ""его уже мы дали трем студентам, мы не раздаём сп"". Не понимал и все ещё не понимаю ведь сп это просто свободное посещение а не освобождение от всех уроков и домашки. Были несколько случаев повышения полномочий, это когда тебя просят сдать документы что ты работаешь но данный док не принимают потому что ты не хочешь устроить дочь сотрудника на ту же компанию где работаешь сам. Без негатива это чисто факты которых я описал как это прошло у меня. Как говорится көпке топырақ шашпаймын но везде есть неприятные моменты и неприятные личности! А про то что там условий никакой нет для обучения, про то что компы банальные в айти университете еле могут просто запустится говорит о многом)) А скорость вайфая на основном корпусе просто сказка.",1,Международный университет информационных технологий,4.1,1327
Абдусаттар Касымбеков,"19 января 2025, отредактирован","Шарага, компьютеры старые, включаются медленно. Большинство преподавателей не знают свой предмет от слова совсем. Оценки работают так, что ты должен к каждому преподавателю подлизываться. Не могут даже нормальное расписание организовать. Большинство кабинетов душные и воздуха в них нет, окна открыть нельзя. Знаний в универе нет, если есть то они не обновлялись с того года когда универ был основан. Ну как бы форма универа в виде унитаза, сама за себя говорит.",1,Международный университет информационных технологий,4.1,1327
Имя,"7 января 2025, отредактирован",Интерьер не очень,4,Международный университет информационных технологий,4.1,1327
Шынар Жакипова,6 января 2025,Супер приложение 💐,5,Международный университет информационных технологий,4.1,1327
Rauan 🗽,"28 декабря 2024, отредактирован",практиковали,4,Международный университет информационных технологий,4.1,1327
Jalil Dev ops,"26 декабря 2024, отредактирован","Скам, испортить бал за один вечер а исправить ошибку точно собираться не будут",1,Международный университет информационных технологий,4.1,1327
Dariga Myrzamuratova,"26 декабря 2024, отредактирован","Сдавала экзамен TOEFL. Все сотрудники, начиная с охраны, были вежливыми и внимательными. Спасибо сотрудникам тестового центра за хорошую организацию",5,Международный университет информационных технологий,4.1,1327
L A,"24 декабря 2024, отредактирован","Самый худший препод вуза - Аделеке Олуфеми Вильям.Начнем с того, что он преподавать не умеет от слова совсем, допускает чрезмерную откровенность , и нарушает личные границы. На лекциях обсуждает вульгарные темы несвязанные с предметом, и принижает наезжая если твое мнение, не совпадает с его.За 2 аттестацию как правило он всем ставит из 100 возможных баллов, 44.Оценки выставляются необоснованно.Сдав всю практику на 80-100, рубежный контроль на 90, за аттестацию получила всего 44, баллы тупо берутся из воздуха.Очень обидно, что такие баллы ставятся необоснованно , даже при посещении всех пар и лекции. Это очень сильно отбивает желание дальше учиться.За все годы обучения в вузе я встречала всяких преподавателей, но этот несомненно самый худший!

Таких некомпетентных преподавателей не стоит держать в вузе, только понижаете значимость и статус.",1,Международный университет информационных технологий,4.1,1327
Темирлан Рахимов,23 декабря 2024,Соска кыздар коп екен,5,Международный университет информационных технологий,4.1,1327
Александр Скворцов,22 декабря 2024,Самый лучший IT университет!!!,5,Международный университет информационных технологий,4.1,1327
Ильяс Рахимбаев,19 декабря 2024,"Амирхану Шонову поставьте 90+ за сессию,а так норм уник",5,Международный университет информационных технологий,4.1,1327
Askall Off,"17 декабря 2024, отредактирован",Кайсар Т Е лучший преподаватель по дискретной математике руки ему целовал🥺,5,Международный университет информационных технологий,4.1,1327
Амир,11 декабря 2024,"Когда говорю знакомым что учусь здесь, они перестают со мной общаться. Пока минусов нет.",5,Международный университет информационных технологий,4.1,1327
Markabaev Nurmukasan,7 декабря 2024,Очень очень норм,5,Международный университет информационных технологий,4.1,1327
Mila Temirali,4 декабря 2024,👍🏼 хороший университет,5,Международный университет информационных технологий,4.1,1327
Саркисов Владислав,3 декабря 2024,"Лучший универ, здесь действительно приобретаешь знания, по пути находишь друзей. Все условия для обучения в общем. МУИТ топ, никогда не забуду",5,Международный университет информационных технологий,4.1,1327
Sabina,3 декабря 2024,"Отличный университет с качественным образованием, опытными преподавателями и современным подходом к обучению. Здесь можно получить не только знания, но и поддержку для профессионального роста.",5,Международный университет информационных технологий,4.1,1327
kartavykh Artem,"6 апреля 2025, отредактирован",Беспонтовый,1,Международный инженерно-технологический университет,4.5,742
adema .,"3 апреля 2025, отредактирован",Апайлар күшті😍😍,4,Международный инженерно-технологический университет,4.5,742
А Химия,3 апреля 2025,"Жаксы апайлар коп
Бырак Кулманова А Химия оте нашар
Сойлесу манери,карым катынасы,коз карасы оте нашар
Кызым осы колледже окиды осы апайга шагымданады
Жылап келеды сессия рубешка сабак сайын
Неге десем Кулманова Аяулым меним жеке басыма тиетын зат айтты деп
Буны колга алсаныздар",3,Международный инженерно-технологический университет,4.5,742
Аружан Елшибекова,2 апреля 2025,👍🏻👍🏻👍🏻👍🏻,5,Международный инженерно-технологический университет,4.5,742
Buldirgen Murat,1 апреля 2025,Колледж өте жақсы апайлар сабақтарын жақсы өтеді 👍👍👍,5,Международный инженерно-технологический университет,4.5,742
аааар ар,14 марта 2025,"Звонила в колл центр ,чтобы уточнить один вопрос , минут 15 пыталась дозвониться ,поднимают трубку и молчат 🤦🏻‍♀️ пишу на ватсап читают и не отвечают (. Зачем тогда вообще оставлять номер на сайте , если ответить вы не в силах!",1,Международный инженерно-технологический университет,4.5,742
Alisher Satybaldy,"10 марта 2025, отредактирован","Уник нормальный учать среднем уровне нет таких занудных учителей, все современное кажется только отстроили общежитие, и совет для учеников в гранте порог 70 баллов, платники 50балл,район тихий расположен рядом ботанический сад, шум от машин нет. 4 звёзд многи из запада, из-за этого бывает драки, я сам не заметал но все таки есть драки, общежитие только для 1 курсников, из этого следует нет бывать что второгодки не мучают 1 курсников.",4,Международный инженерно-технологический университет,4.5,742
Асылжан Сериков,"8 февраля 2025, отредактирован","Сам здесь учусь все нравится
Общежитие вообще топ 👍
Всем советую",4,Международный инженерно-технологический университет,4.5,742
Мерей Досаламанова,27 января 2025,"Колл-центр ничего не знает и слов не понимает. Говоришь об одном, пишут совсем другое🤦🏻‍♀️",3,Международный инженерно-технологический университет,4.5,742
Zhandos S,"24 января 2025, отредактирован","Буфетчица прекрасная женщина, всегда улыбается, хорошо общается и щедрая как всегда, дайте ей премию!!!",5,Международный инженерно-технологический университет,4.5,742
Dias Asanov,"14 января 2025, отредактирован","Сегодня посетил универ. Атмосфера продумана со вкусам. Чисто, комфортно внутри. Команда универа очень мощная! Успехов! Кстати, это как наукаград. Лайк!",5,Международный инженерно-технологический университет,4.5,742
Женис Батырбекулы,9 января 2025,Местополежения,5,Международный инженерно-технологический университет,4.5,742
Adok .,"25 декабря 2024, отредактирован","Хороший университет, проблема лишь с очередью в офис-регистратор.",3,Международный инженерно-технологический университет,4.5,742
Саркис Гаспарян,24 декабря 2024,Колледж на высоте особенно хочу добавить от себя нравится очень как приподает урок Жулдыз Апай до строгая да требовательная но самое главное есть у этого человека Понимание очень часто идёт на встречу❤️❤️❤️,5,Международный инженерно-технологический университет,4.5,742
Аслан .,"24 декабря 2024, отредактирован","Асанова Бибіхан апайдың сабақ беру деңгейі өте жоғар, сабақты күшті түсіндіреді, менің сабаққа деген шабытымды ашқан кісі🫶🏻",5,Международный инженерно-технологический университет,4.5,742
Адина А,23 декабря 2024,лучший университет,5,Международный инженерно-технологический университет,4.5,742
Городская легенда,20 декабря 2024,"Осы кезде приемныйда отқан қыз өте молодец,жауапты,жұмыс процессін түсіне отырып студенттермен оқу процессі бойынша жақсы жұмыс жүргізеді екен. Есімі қателеспесем Арайлым немесе Арай. Оқу жылы басында 61 кабинетте болған еді. Академиялық департамент кабинетінде, сол кезде де сабақтарымыз бойынша ойын айтып көмек берген еді. Дымда ашусыз, артық эмоциясыз келген қаншама студентке жауап беріп, проблемамызды шешуге үлесін қосты шынында. Меніңше оқу процессіне студенттермен тікелей осындай сұрақтар туындағанда жүгінетін маман. Оқу процессі бойынша 61 кабинетке барыңыз деп барлығы жіберген кезде үнемі қандай сұрақ бойынша келдіңіз деп анықтап сұрап алып, бағыттайтын, көмек сұрасақ уақыт тапшы болсада айтып беретін, тап бүгін де апайдың көмегі тиді, үлкеен алғыс айтамыз группа болып. (Кураторымыз да осы апайды айтады бізге. Апайды қайта 61 кабинетте күтеміз, келсе екен деп)",5,Международный инженерно-технологический университет,4.5,742
Alau,19 декабря 2024,"Никто не предупреждал что оплата 4 курса 100% должен быть до сессии, теперь все стоим перед бухгалтерии?! Сказали пересдача или вообще недопуск, почему мы должны терять время и ждать бухгалтерию? Работали б они нормально и быстрее не ждали б тут час или два
Ужас просто",1,Международный инженерно-технологический университет,4.5,742
Lllll Kkkkk,18 декабря 2024,"Работники в офис регистрации (33 кабинет) очень грубые , толком ничего не могут объяснить и еле разговаривают вечно недовольные . Только и могут выставлять за дверь и кричать!",1,Международный инженерно-технологический университет,4.5,742
Ирина Скоробогатова,"18 декабря 2024, отредактирован","Мне очень понравилось как девушка по имени Адема работает что то при деканате или ректорате, короче профессионал она, помогла мне разобраться с ошибкой связанной с моим зачислением. Хороший университет",5,Международный инженерно-технологический университет,4.5,742
Alex,"11 декабря 2024, отредактирован",Такое себе,2,Международный инженерно-технологический университет,4.5,742
Eldar Harden,10 декабря 2024,"Обучение на хорошем уровне, все отлично. Соглашусь с отзывами других, люди правы не хватает воспитания, уважение к старшим.
Группа ИТвЭЭ красавцы.",4,Международный инженерно-технологический университет,4.5,742
Zhulduz Dildebayeva,"6 декабря 2024, отредактирован",Там все отлично. Соответствует всем требованиям вуз,5,Международный инженерно-технологический университет,4.5,742
Cra 2y,6 декабря 2024,"Хотел бы дополнить отзыв ниже и подчеркнуть то, что учителя зачастую переходят границы, пугают летниками, не думаю что это правильно.",3,Международный инженерно-технологический университет,4.5,742
хххх хххх,4 декабря 2024,"техничка ляззат ужасно обращается со студентами, всегда орёт как резаная, вечно хамит всем, будто ради нас работает, что в общаге, что в универе, вечно чем-то недовольная. решите проблему и успокойте её.",1,Международный инженерно-технологический университет,4.5,742
rakhim abdurakhimov,4 декабря 2024,Аянмен Бека окид жаксы дидыго былай былай,5,Международный инженерно-технологический университет,4.5,742
Fazila Utegalieva,"27 ноября 2024, отредактирован","Я работаю в этом университе 10 лет, есть с чем сравнивать. Университет развивается очень динамично. Совешенствуется материальная база, аудитории снабжены современными интерпктивными досками, все преподаватели имеют на оаботе ПК. Конечно, есть недостатки, как в люблм развивающемся организме. Нужнл работать над их исправлениями. Студентам нужно работать над этикой и эстетикой поведения! Нужно стать патоиотами своей Альма- матер. Замечания, которые делают жители окружающих домов в целом справедливы ; но я хотела бы возразить им в том, что наши студенты невоспитанны. Разве только студенты этого универа имеют привычки оставлять мусор в ненадлежащих местах? А остадьное население наших городов? Эта , к сожалению, общенациональная проблема. Взрослые, будьте сдержаннее в эмоциях, когда даете оценку поведния молодежи: это наша , взрослых, “ заслуга”!",5,Международный инженерно-технологический университет,4.5,742
Бауыржан Избасар,"26 ноября 2024, отредактирован",Керемет унвер,5,Международный инженерно-технологический университет,4.5,742
Bekarys Sharabadinov,26 ноября 2024,Хороший университет,5,Международный инженерно-технологический университет,4.5,742
Aksultan Toleubay,"26 ноября 2024, отредактирован",Университет 👍,5,Международный инженерно-технологический университет,4.5,742
Qeqe Yeye,18 ноября 2024,"Первым делом хочется выделить местоположение университета запутанная лабиринт,ели можно найти.
Второе это некоторые преподаватели не соблюдают субардинацию переходят на личность студента унижая перед всеми даже если ты прям сильно стараешься,учишься то тебя все равно занижают
Вывод:университет хороший с хорошим будущем но есть свои недостатки",1,Международный инженерно-технологический университет,4.5,742
Didi Ds,"13 ноября 2024, отредактирован","Из за студентов в нашем районе свалка! Студенты курят, употребляют алкоголь, оставляют мусор! На замечания никак не реагируют! Администрация не принимает никаких мер!!!",1,Международный инженерно-технологический университет,4.5,742
Oleg Gupalo,"11 ноября 2024, отредактирован",Мне нравится обучаться тут,5,Международный инженерно-технологический университет,4.5,742
Айару .,"11 ноября 2024, отредактирован",Эльба апай жаксы беред сабакта честная отырык жазбаймыз‼️,5,Международный инженерно-технологический университет,4.5,742
Ашим Надира,30 октября 2024,Преподаватель дар студенттермен субординация сактамайды. Студенттер жекесыне отып тиысты багасын коймайды. Студенттерге ескертпей платный ауыстыра салады. Рубежа уакытында дайындап жазып келгендерын карамайдыда. Адамнын турыне карап бал кояды. Университетте бари билгендерин истит. Жумыс истегендеры мындет барине. Ешким осы проблеманы шешпиды,1,Международный инженерно-технологический университет,4.5,742
Aa Aa,"27 октября 2024, отредактирован","Преподавательский состав деген ужас рубежка аптасында уақытылы сабақ кезінде рубежка алудың орнына жарты апай четверг субботаға дейін қабылдаймын сол кезде келесіңдер деп айтады сонда біз есіміз ауып 1 күнде 3 пән тапсырады екенбіз еще оның бәрін бір уақытка или жарты сағатқа дегенде шегеріп қояды каждый считает что его предмет единственный важный и им ввсе равно что в это время тебе нужно сдавать другой предмет доказательством является то что я не смогла сдать определенный предмет из за того что нас вызвали на другой хотя в этот день у нас нету этого предмета в расписании
Еще одна проблема что с чуваками не так которые сидят в серверной почему они не знают свои обязанности у меня в ноуте на минуту который дал мне сам универ не открывал ворд когда сходила к ним они сказали что они этим не занимаются учитывая то что я после этого позвонила в колл центр и они ответили что серверная должна этим заниматся Ало ребят вы зачем тогда в серверной сидите освободите место помню что в тот раз был другой парень к которму я обратилась и он без проблем мне все сделал",1,Международный инженерно-технологический университет,4.5,742
Aigera Zhumanova,21 октября 2024,Универде мұғалімдердің сабақ беру деңгейі өте жоғары🔥 оқып жүрген студенттер өте жақсы біледі! МИТУ ға түскенімізге өкінбейміз😊,5,Международный инженерно-технологический университет,4.5,742
Бекнур Бактыбек,"17 октября 2024, отредактирован",фигня уник,1,Международный инженерно-технологический университет,4.5,742
Zhambyl Kulshashar,"10 октября 2024, отредактирован","Самый топ универ,все классно,дает бесплатно ноутбук",5,Международный инженерно-технологический университет,4.5,742
Adilbai Kidirbaev,2 октября 2024,In the best university ❤,5,Международный инженерно-технологический университет,4.5,742
DI,1 октября 2024,"Хотели пожаловаться на бухгалтерию,всегда заходим даже если они в рабочем режиме все пьют чай,делают что хотят.Даже если не время обеда.
Студентов не принимают услуга ужасная.Вроде есть девушка по имени Диана вообще ужасно относится к студентам.Поставлю -1 звезду",1,Международный инженерно-технологический университет,4.5,742
Марина Нефёдова,"20 сентября 2024, отредактирован",Корректный преподавательский состав.Вспитанные студенты.,5,Международный инженерно-технологический университет,4.5,742
Niya Dulatova,"19 сентября 2024, отредактирован","Вробе норм сияқты,но точно блмим",4,Международный инженерно-технологический университет,4.5,742
Zhanna Gabbassova,18 сентября 2024,"Прекрасная атмосфера внутри вуза! вуз постоянно развивается, администрация делает все, чтобы студентам и училось и жилось в общежитиях комфортно - ставлю высшую отметку! Удачи и успехов!",5,Международный инженерно-технологический университет,4.5,742
Темирлан Байхут,"17 сентября 2024, отредактирован",Мой любимый университет самый лучший,5,Международный инженерно-технологический университет,4.5,742
Bagila Agaidar,16 сентября 2024,"Қайырлы күн! Университет басшылығы назарына алса екен деймін! Оқу жылы басталғалы бері Магнат азық-түлік дүкені маңында сіздің оқу орнының білім алушылары дүкеннен түскі ас ішіп жүреді. Сол маңда тұратын тұрғын ретінде жиі байқайтын бір жағымсыз істіғ куәсі болдым. Студенттер жерге түкіреді. Жеген тамақтың сыртын, сусынның құтысын лақтырып кете салады. Күнде таңертең сол жерді әкелеріндей кісі жинайды. Ең жаманы студенттердің түкірігін басып жүргеніміз! Осы шаруаны қолға алсаңыздар! Егер олай болмаса, сурет/видеоға түсіріп тиісті жерге арыздануға толық құқығым бар екенін ескертемін. Тәрбие жұмыстарын жүргізіп, қоғамдық орында түкіруге болмайтынын қатаң ескертіңіздер, жазалау шарасын қолданыңыздар. Оған дәлел камералардан қарасаңыздар да табасыздар.",1,Международный инженерно-технологический университет,4.5,742
Баянсұлу Тоқсанбаева,"10 сентября 2024, отредактирован","Колледжде Қараней Данагүл апай өте жақсы куратор. Бізді түсіне алатын, түсіністікпен қарайтын апай. Өзінің кураторлық қызметін жетік орындайды. Ең күшті куратор",4,Международный инженерно-технологический университет,4.5,742
Кошалиева Шынар,3 сентября 2024,"Жатақханаға орналастыру мамандары ӨТЕ НАШАР, жауапкершілік деген жоқ, айтқан сөздерін мойындамайды, өтініш қалдырдық, студент барса сенің өтінішің жоқ дейді. Ол деген құжаттарға да өте ЖАУАПСЫЗ қарайды дегенді білдіреді.

Жастар саясаты департаментінің басшысы Ақнұр Талғатбековна жауапсыздық танытқансын, балық басынан шіриді деген сөз еріксіз еске түседі екен.

Өтініш жазыңыз, қалған документтерді электронды жіберсеңіз болады деді. Кеше барса өтінішің жоқ дейді.Көпбалалы отбасы, жұмысбасты ата-анасы қайта қайта келе бере алмайды.

Түркістан облысы, Шардара ауданының студентті келе берсін деп шақырып алды.

Осындай жауапсыздықтың арқасында 1 курс студенті далада қалу не масқара.",1,Международный инженерно-технологический университет,4.5,742
Timur Babakulov,2 сентября 2024,"Худший университет, только и могу что зазывать абитуриентов с грантом от 50 баллов, должен был отчислишься с университета, футболят в течений 4 часов, не смог найти коменданта общежития, не получил подписи должен видимо еще пару дней ездить, не советую этот университет к поступления",1,Международный инженерно-технологический университет,4.5,742
Ернур Ермек,28 августа 2024,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,5,Международный инженерно-технологический университет,4.5,742
Сунят,"9 апреля 2025, отредактирован",.,3,Казахстанско-Российский Медицинский университет,4.5,1124
Ramazan Bolat,"8 апреля 2025, отредактирован","Столовка в дизайне стала лучше, а в качестве еды и цен просела",3,Казахстанско-Российский Медицинский университет,4.5,1124
sayatt .,8 апреля 2025,"овсяная каша и блинчик с творогом зачет, над рисовой кашей нужно чутька поработать",4,Казахстанско-Российский Медицинский университет,4.5,1124
Rajneesh Tiwari,5 апреля 2025,It's great to be a part of this university . Teachers are very supportive and experienced . They always helping and supporting nature🏥.,5,Казахстанско-Российский Медицинский университет,4.5,1124
El Doos,3 апреля 2025,Крму практика жағынан мықты💕,5,Казахстанско-Российский Медицинский университет,4.5,1124
Fill Mary,2 апреля 2025,"Хочу выразить искреннюю благодарность и глубокое уважение к заместителю декана Сыздыковой Азизе Биржановне. Это не просто человек, занимающий ответственную должность, а настоящий профессионал своего дела, обладающий удивительным сочетанием мудрости, справедливости и человечности.
Она всегда открыта для каждого студента – будь то вопрос по учебе, сложная ситуация или даже просто совет, необходимый в жизни.

Она умеет выслушать и найти подход к каждому. Её справедливость, честность и открытость создают атмосферу доверия, которая так важна в студенческом сообществе.

Очень благодарна за Вашу доброжелательность, мудрость и поддержку.

Спасибо за ваш труд, внимание и заботу!
Вы лучшая ❤️",5,Казахстанско-Российский Медицинский университет,4.5,1124
Ayazhan Asan,"1 апреля 2025, отредактирован","Фармакология кафедрасы Нургалиева Жансулу апайға алғысымыз шексіз!Өте білімді оқытушы,сіздің бізге беріп жатқан біліміңізге рахмет♥️1 жылда сіздің арқаныңызда көп нәрсе үйрендік.Рахмет сізге,бізде сіздей оқытушылардың барына қуанамыз🥹🫶🏻",5,Казахстанско-Российский Медицинский университет,4.5,1124
Alexey Smirnov,"29 марта 2025, отредактирован",хорошие учителя,5,Казахстанско-Российский Медицинский университет,4.5,1124
Alima Ali,20 марта 2025,"Здравствуйте! Благодарю студентов университета за угощения, которые они раздают на светофоре для постящихся! Пусть Аллах вознаградит всеми благами за вашу доброту!",5,Казахстанско-Российский Медицинский университет,4.5,1124
